Country Name,"Country Code","Time","Time Code","Rule of Law: Estimate [RL.EST]"
Panama,"PAN","2021","YR2021","-0.247416600584984"
Papua New Guinea,"PNG","2021","YR2021","-0.740271627902985"
Paraguay,"PRY","2021","YR2021","-0.557476758956909"
Peru,"PER","2021","YR2021","-0.515617430210114"
Philippines,"PHL","2021","YR2021","-0.641974866390228"
Poland,"POL","2021","YR2021","0.444528877735138"
Portugal,"PRT","2021","YR2021","1.1334091424942"
Puerto Rico,"PRI","2021","YR2021","0.60099595785141"
Qatar,"QAT","2021","YR2021","0.927772462368011"
Reunion,"REU","2021","YR2021","0.69535356760025"
Romania,"ROU","2021","YR2021","0.407664686441422"
Russian Federation,"RUS","2021","YR2021","-0.869817554950714"
Rwanda,"RWA","2021","YR2021","0.201179966330528"
Samoa,"WSM","2021","YR2021","0.891396164894104"
San Marino,"SMR","2021","YR2021","NA"
Sao Tome and Principe,"STP","2021","YR2021","-0.702518403530121"
Saudi Arabia,"SAU","2021","YR2021","0.230156630277634"
Senegal,"SEN","2021","YR2021","-0.364443629980087"
Serbia,"SRB","2021","YR2021","-0.0915871411561966"
Seychelles,"SYC","2021","YR2021","0.341354221105576"
Sierra Leone,"SLE","2021","YR2021","-0.818652033805847"
Singapore,"SGP","2021","YR2021","1.85771286487579"
Slovak Republic,"SVK","2021","YR2021","0.705730617046356"
Slovenia,"SVN","2021","YR2021","1.02999997138977"
Solomon Islands,"SLB","2021","YR2021","-0.351536840200424"
Somalia,"SOM","2021","YR2021","-2.27297759056091"
South Africa,"ZAF","2021","YR2021","0.130612432956696"
South Sudan,"SSD","2021","YR2021","-2.04507803916931"
Spain,"ESP","2021","YR2021","0.875867247581482"
Sri Lanka,"LKA","2021","YR2021","0.0384581089019775"
St. Kitts and Nevis,"KNA","2021","YR2021","0.496768057346344"
St. Lucia,"LCA","2021","YR2021","0.631702065467834"
St. Vincent and the Grenadines,"VCT","2021","YR2021","0.60715925693512"
Sudan,"SDN","2021","YR2021","-1.21010541915894"
Suriname,"SUR","2021","YR2021","-0.102680578827858"
Sweden,"SWE","2021","YR2021","1.73383045196533"
Switzerland,"CHE","2021","YR2021","1.80816388130188"
Syrian Arab Republic,"SYR","2021","YR2021","-2.07013750076294"
"Taiwan, China","TWN","2021","YR2021","1.29620206356049"
Tajikistan,"TJK","2021","YR2021","-1.18518328666687"
Tanzania,"TZA","2021","YR2021","-0.523068845272064"
Thailand,"THA","2021","YR2021","0.114909611642361"
Timor-Leste,"TLS","2021","YR2021","-0.998198091983795"
Togo,"TGO","2021","YR2021","-0.559333980083466"
Tonga,"TON","2021","YR2021","0.446720063686371"
Trinidad and Tobago,"TTO","2021","YR2021","-0.136173188686371"
Tunisia,"TUN","2021","YR2021","0.0956353172659874"
Turkiye,"TUR","2021","YR2021","-0.416483223438263"
Turkmenistan,"TKM","2021","YR2021","-1.44194829463959"
Tuvalu,"TUV","2021","YR2021","0.720773041248322"
Uganda,"UGA","2021","YR2021","-0.352073669433594"
Ukraine,"UKR","2021","YR2021","-0.659907996654511"
United Arab Emirates,"ARE","2021","YR2021","0.830101609230042"
United Kingdom,"GBR","2021","YR2021","1.42664241790771"
United States,"USA","2021","YR2021","1.41665649414063"
Uruguay,"URY","2021","YR2021","0.732000946998596"
Uzbekistan,"UZB","2021","YR2021","-0.886045157909393"
Vanuatu,"VUT","2021","YR2021","0.458427578210831"
"Venezuela, RB","VEN","2021","YR2021","-2.29597449302673"
Vietnam,"VNM","2021","YR2021","-0.146356195211411"
Virgin Islands (U.S.),"VIR","2021","YR2021","0.950291752815247"
West Bank and Gaza,"PSE","2021","YR2021","-0.496767908334732"
"Yemen, Rep.","YEM","2021","YR2021","-1.7988783121109"
Zambia,"ZMB","2021","YR2021","-0.593126952648163"
Zimbabwe,"ZWE","2021","YR2021","-1.26068878173828"
,"","","",""
,"","","",""
,"","","",""
Data from database: Worldwide Governance Indicators,"","","",""
Last Updated: 09/23/2022,"","","",""
